index	question	sentence	label
92	why would that stop you from reading it?	I am not a Hindu	not_entailment
93	why would that stop you from reading it?	there is no reason to read it	entailment
94	what kind of tattoo does josh have?	a met	entailment
95	what kind of tattoo does josh have?	met tattoo	not_entailment
96	which actors have died recenlty?	Paul Walkers	entailment
97	which actors have died recenlty?	@ maryjbl	not_entailment
98	where did someone just die?	on the course	entailment
99	where did someone just die?	mcgregor	not_entailment
100	who did romney and obama hypothetically change hair with?	their wives	entailment
101	who did romney and obama hypothetically change hair with?	@ shelbywhite	not_entailment
102	what percentage will ariana grande take someone up on?	100000000000	entailment
103	what percentage will ariana grande take someone up on?	10000000 %	not_entailment
104	how were the opening and closing remarks described?	terrible -- fumbled around , incoherent	entailment
105	how were the opening and closing remarks described?	fumbled	not_entailment
106	what do fans do at this worldcup?	break through security checkpoint and storm	entailment
107	what do fans do at this worldcup?	# chile fans	not_entailment
108	what makes sriracha2go go good?	photo	not_entailment
109	what makes sriracha2go go good?	portability	entailment
110	what was nicki minaj tweeting that she was looking at?	my own face	entailment
111	what was nicki minaj tweeting that she was looking at?	23 , 2015	not_entailment
112	what show was kelly watching?	TOO MANY COOKS	entailment
113	what show was kelly watching?	2 / 3rds	not_entailment
114	what was the result of this crime?	died	entailment
115	what was the result of this crime?	death is inexcusable	not_entailment
116	what is the name of the bag?	a USAF Hurricane Hunter	not_entailment
117	what is the name of the bag?	a bag	entailment
118	what do all good interviews start with?	a bowl of porridge	entailment
119	what do all good interviews start with?	porridge	not_entailment
120	why is aslan irritated?	someone shows that his emperor has no clothes	entailment
121	why is aslan irritated?	an apostates experience	not_entailment
122	what were they trying to get across?	he does n’t really care what he wears	entailment
123	what were they trying to get across?	@ pottermore	not_entailment
124	what 2b are the braves close to acquiring?	Brandon Phillips	entailment
125	what 2b are the braves close to acquiring?		not_entailment
126	what kind of panel occured?	an i ZOMBIE fan panel	entailment
127	what kind of panel occured?	i have no idea	not_entailment
128	what has trump done already?	given my opinion	entailment
129	what has trump done already?	i ' ve given his opinion	not_entailment
130	if not just playing defense, then what is our goal?	a Medicare for all , single payer system	entailment
131	if not just playing defense, then what is our goal?	a medicare - for - all	not_entailment
132	who should always look down upon us?	Tray	entailment
133	who should always look down upon us?	# riptray	not_entailment
134	what areas of alepposarc did red crescent deliver humanitarian relief?	Nubl and # Al Zahra in rural	not_entailment
135	what areas of alepposarc did red crescent deliver humanitarian relief?	numl and al zahra	entailment
136	whose mouth is the target of michael keatons gum?	Eddie Redmayne's	not_entailment
137	whose mouth is the target of michael keatons gum?	eddie redmayne	entailment
138	what is the beagle's name?	Buddy	entailment
139	what is the beagle's name?	buddy the beagle	not_entailment
140	what did the fan leave the field on	gurney	entailment
141	what did the fan leave the field on	brett lawrie	not_entailment
142	who can not confirm this?	 Lauren Graham	entailment
143	who can not confirm this?	@ thelaurengraham	not_entailment
144	when did frank gifford die?	August 9 , 2015	entailment
145	when did frank gifford die?	kathie lee and hoda	not_entailment
146	where can you find out more about the queen and royal family?	website	entailment
147	where can you find out more about the queen and royal family?	www . australia . com	not_entailment
148	when is australia day?	January 25 , 2015	not_entailment
149	when is australia day?	january 25th	entailment
150	what kind of movie is being tweeted about here?	super hero movies	entailment
151	what kind of movie is being tweeted about here?		not_entailment
152	who is getting a god bless?	BB	not_entailment
153	who is getting a god bless?	bb king	entailment
154	where is the t-shirt hanging?	outside Lippo Centre in Admiralty	entailment
155	where is the t-shirt hanging?	outside lippo centre	not_entailment
156	who was pablo guzman's tweet replying to?	cindymannings	entailment
157	who was pablo guzman's tweet replying to?	2015	not_entailment
158	what does he think is more useful to save?	empty cardboard boxes and off cuts of string	entailment
159	what does he think is more useful to save?	they ' re far more useful	not_entailment
160	who is out of his comfort zone?	Amy Williams	entailment
161	who is out of his comfort zone?	@ skeletonamy	not_entailment
162	how does he feel?	the loss of 1 of my great influences	not_entailment
163	how does he feel?	crushed	entailment
164	where is mei xiang located?	National Zoo	entailment
165	where is mei xiang located?	vets	not_entailment
166	why has a&m been trending all day?	 more people are talking about an idiot prof	entailment
167	why has a&m been trending all day?	i can ' t believe it	not_entailment
168	when are the cars lining up for fuel?	after # Yemen airstrikes	entailment
169	when are the cars lining up for fuel?	yemen airstrikes	not_entailment
170	where did jennings show up?	the kick off press conference	entailment
171	where did jennings show up?	i ' m ready	not_entailment
172	what can you do on netflix?	WATCH " MAKING OF A MURDERER	entailment
173	what can you do on netflix?	watch	not_entailment
174	what artists are resurfacing nowadays?	TAYLOR SWIFT	entailment
175	what artists are resurfacing nowadays?	weaves	not_entailment
176	what does john work in?	a boat	entailment
177	what does john work in?	wearing it	not_entailment
178	where did humphreys go mountain biking, paddling and climbing?	Skye , Scotland	entailment
179	where did humphreys go mountain biking, paddling and climbing?	microadventure	not_entailment
180	where was nicholas when he was preparing?	Melbourne	entailment
181	where was nicholas when he was preparing?		not_entailment
182	what kind of realness is lindsay giving the user?	Axel Rose	not_entailment
183	what kind of realness is lindsay giving the user?	axel rose realness	entailment
184	how much was the loss?	1 point	not_entailment
185	how much was the loss?	one point	entailment
186	where were the residents from who stood in the line?	Baltimore	entailment
187	where were the residents from who stood in the line?	baltimore residents	not_entailment
188	what will the artist not write about?	fear	entailment
189	what will the artist not write about?	mosul eye	not_entailment
190	who led the rise of isil?	Pres Obama's national security decisions	entailment
191	who led the rise of isil?	pres obama	not_entailment
192	what does maisie williams do not deserve?	special treatment	entailment
193	what does maisie williams do not deserve?	i ' m not saying she deserves special treatment	not_entailment
194	how many books daliyah marie arana will read till now?	more than a 1,000	entailment
195	how many books daliyah marie arana will read till now?	lic	not_entailment
196	what was paul not caught up in?	Hollywood	entailment
197	what was paul not caught up in?	conscientious	not_entailment
198	what was the winning time for the nyc marathon?	3 hours , 26 min and 33 sec	entailment
199	what was the winning time for the nyc marathon?	i was happy	not_entailment
200	when did fifa hq take a vote regarding qatar?	2 years after	not_entailment
201	when did fifa hq take a vote regarding qatar?	2 years ago	entailment
202	who did ann coulter imply that she wants impeached?	Trump	entailment
203	who did ann coulter imply that she wants impeached?	n ' t want trump	not_entailment
204	who is the ultimate warrior survived by?	his wife and 2 , young daughters	entailment
205	who is the ultimate warrior survived by?	condolences	not_entailment
206	what is jon's last name	Favreau	entailment
207	what is jon's last name	jon	not_entailment
208	what celebrity is pregnant again?	BEYONCÉ	not_entailment
209	what celebrity is pregnant again?	beyonce	entailment
210	what color is the crowd wearing?	grey	not_entailment
211	what color is the crowd wearing?	mostly grey	entailment
212	what does elizabeth warren ask mitt romney?	Are corporations still people	entailment
213	what does elizabeth warren ask mitt romney?	mitt	not_entailment
214	what reese's product did @madisonbarrow1 have?	Peanut Butter Pumpkin	entailment
215	what reese's product did @madisonbarrow1 have?	reese ' s peanut butter pumpkin	not_entailment
216	who is the man in this picture?	new Joker	entailment
217	who is the man in this picture?	the man is the picture	not_entailment
218	who is the first girl to ski jump in the olympics?	Sarah Hendrickson	not_entailment
219	who is the first girl to ski jump in the olympics?	sarah	entailment
220	from where iran's stability and security depends on ?	its own people	entailment
221	from where iran's stability and security depends on ?	like the people of trumps	not_entailment
222	what team should sign lebron james as quarterback?	nyjets	not_entailment
223	what team should sign lebron james as quarterback?	ny jets	entailment
224	who confirmed the force	CERN researchers	not_entailment
225	who confirmed the force	cern	entailment
226	who was she assaulted by at the age of 16?	a director	entailment
227	who was she assaulted by at the age of 16?	@ r witherspoon	not_entailment
228	who was murdered in new orleans?	Will Smith's	not_entailment
229	who was murdered in new orleans?	will smith	entailment
230	which team is considering hassan whiteside?	Blazers	entailment
231	which team is considering hassan whiteside?	wolves	not_entailment
232	what will they be reviewing?	radio transmissions	entailment
233	what will they be reviewing?	ntsb	not_entailment
234	how did he go to practice?	hungry	entailment
235	how did he go to practice?	wow !	not_entailment
236	who did the 3 points come from?	Chris Paul and Blake Griffin	entailment
237	who did the 3 points come from?	nbaclippers	not_entailment
238	who is #google doodle honoring?	Frederick Douglass	not_entailment
239	who is #google doodle honoring?	frederick douglas	entailment
240	what does american draggin hop to find	God	entailment
241	what does american draggin hop to find	elax	not_entailment
242	who did something on taylor swift's birthday?	kanye	entailment
243	who did something on taylor swift's birthday?	desus nice	not_entailment
244	what is alex castellanos predicting?	Romney wins	entailment
245	what is alex castellanos predicting?	cnnopinion	not_entailment
246	who needs to give it up?	You	entailment
247	who needs to give it up?	jarett wieselman	not_entailment
248	the cover-up don't with celebrations located where?	Jersey City rooftops	entailment
249	the cover-up don't with celebrations located where?	9 / 11 cover up	not_entailment
250	what could lebron do better as a free agent?	put pressure on Heat ownership	entailment
251	what could lebron do better as a free agent?	opting in	not_entailment
252	what did russia think they were doing?	the national anthem of Westeros	entailment
253	what did russia think they were doing?	westeros	not_entailment
254	how long has it been since bringbackourgirls?	One year later	not_entailment
255	how long has it been since bringbackourgirls?	1 year ago	entailment
256	who may have hurt some people?	Steve Rannazzisi	entailment
257	who may have hurt some people?	i love steve rannazzisi	not_entailment
258	what advice does stallone give?	Keep Punching	entailment
259	what advice does stallone give?	keep punching champ	not_entailment
260	who has been voted man of the match?	Angel Di Maria	entailment
261	who has been voted man of the match?	mufc	not_entailment
262	who did kristen bell welcome to the world?	DELTA BELL SHEPARD	entailment
263	who did kristen bell welcome to the world?	@ daxshepard1	not_entailment
264	what happened to sawyer sweeten in april of 2015	He is	not_entailment
265	what happened to sawyer sweeten in april of 2015	he died	entailment
266	who will the nfl have to answer to?	an angry , powerful owner	entailment
267	who will the nfl have to answer to?	they ' re going to have an angry , powerful owner	not_entailment
268	what stands for best of everything in america?	repjohnlewis	not_entailment
269	what stands for best of everything in america?	@ john	entailment
270	why does aziz ansari have to be up early?	to shoot Parks	entailment
271	why does aziz ansari have to be up early?	i ' ll try to	not_entailment
272	who are being kept away from from making immense contributions to our society?	trans folk	entailment
273	who are being kept away from from making immense contributions to our society?	i ' m not talking about me	not_entailment
274	what is her mission	to get more women online in poor nations	entailment
275	what is her mission	facebook ' s @ sherylsandberg	not_entailment
276	who is the tweet meant for?	justinbieber	not_entailment
277	who is the tweet meant for?	justin bieber	entailment
278	who is peotus standing for?	Putin	entailment
279	who is peotus standing for?	@ paul	not_entailment
280	how bad is the deficit for u.s.?	Very	entailment
281	how bad is the deficit for u.s.?	very bad	not_entailment
282	how is john feeling?	Thanks to the airport police security	not_entailment
283	how is john feeling?	thankful	entailment
284	what country will you say claudia live in or is from?	wan na	not_entailment
285	what country will you say claudia live in or is from?	i will say mexico	entailment
286	who did people think john mccain was referring to?	the President himself	entailment
287	who did people think john mccain was referring to?	pres obama	not_entailment
288	what event did the suggested photo edit make sensible for australia to be allowed into?	Eurovision	entailment
289	what event did the suggested photo edit make sensible for australia to be allowed into?	photoshop australia	not_entailment
290	what is too beautiful to be gone?	Furious 7	entailment
291	what is too beautiful to be gone?	montage	not_entailment
292	who did taylor swift say her broken heart feels for?	the victims in Vegas and their families	entailment
293	who did taylor swift say her broken heart feels for?	helplessness and sorrow	not_entailment
294	how does jada smith describe re imagining  relationship to pac	deeply hurtful	entailment
295	how does jada smith describe re imagining  relationship to pac	hurtful	not_entailment
296	who did airines commit hate crimes against?	their own customers	entailment
297	who did airines commit hate crimes against?	air	not_entailment
298	what was the deadline for @realdonaldtrump to get out of the race?	a Labor Day	entailment
299	what was the deadline for @realdonaldtrump to get out of the race?	@ twitter	not_entailment
300	what happened in las vegas?	Bentley	not_entailment
301	what happened in las vegas?	something tragic .	entailment
302	it's fun for kjell to watch what grow?	Veggie	not_entailment
303	it's fun for kjell to watch what grow?	veggies	entailment
304	who outlined the iconic buildings?	Netizens	not_entailment
305	who outlined the iconic buildings?	neitzens	entailment
306	what is erin shanahan impressed by	the effort of the firefighters	entailment
307	what is erin shanahan impressed by	thankafirefighter	not_entailment
308	what can't you send your kids to school with?	peanut butter	entailment
309	what can't you send your kids to school with?	@ cyn190	not_entailment
310	how did bob simon pass?	a great reporter and wonderful man	not_entailment
311	how did bob simon pass?	bob simon died	entailment
312	what will tony fernandes do	whatever we can	not_entailment
313	what will tony fernandes do	what we can	entailment
314	what edible product did someone state was not food?	Cheese	not_entailment
315	what edible product did someone state was not food?	cheese dust	entailment
316	who is the media covering?	Jesse	entailment
317	who is the media covering?	miley cyrus	not_entailment
318	what was angela merkel wearing?	a full length coat	entailment
319	what was angela merkel wearing?	photoshopped her out	not_entailment
320	who is laverne cox thanking?	the trans folks currently serving in the military	entailment
321	who is laverne cox thanking?	to all the trans folks	not_entailment
322	what did himes tweet that he admits to?	TAPPING	entailment
323	what did himes tweet that he admits to?	# maplenowire	not_entailment
324	how are the girls in the image related?	sisters	entailment
325	how are the girls in the image related?	well in their careers	not_entailment
326	who passed away recently?	Simone's	not_entailment
327	who passed away recently?	simone ' s	entailment
328	what did the network do?	kills you off	not_entailment
329	what did the network do?	killed you off	entailment
330	who tweeted on sep 11, 2014?	Evian Champ Evian Championship	not_entailment
331	who tweeted on sep 11, 2014?	evian championship	entailment
332	who did the sagawards nominate?	Uzo Aduba	entailment
333	who did the sagawards nominate?	@ oitnb	not_entailment
334	who is she comparing with?	atherton	not_entailment
335	who is she comparing with?	@ gee _ atherton	entailment
336	what time does the eclipse start for the us?	at ~ 2 a ET	entailment
337	what time does the eclipse start for the us?	2 a et	not_entailment
338	what thing is not easy?	Break the Silence of Sexual Abuse	entailment
339	what thing is not easy?		not_entailment
340	where is the ship broken down?	base Dumont D'Urville	entailment
341	where is the ship broken down?	amsa news	not_entailment
342	what is andrew garfield being described as?	gay	entailment
343	what is andrew garfield being described as?		not_entailment
344	what is he drinking in honor of phife?	A DR PEPPER	entailment
345	what is he drinking in honor of phife?	phife	not_entailment
346	how much snow are they calling for?	20-30	not_entailment
347	how much snow are they calling for?	20 - 30 " of snow	entailment
348	what animal was killed and pictured in the tweet?	TIGERTIGER	not_entailment
349	what animal was killed and pictured in the tweet?	a giraffe	entailment
350	what did he buy when he sold the mercedes?	Prius's	entailment
351	what did he buy when he sold the mercedes?	prius	not_entailment
352	who is the individual saying farewell to?	Jimmy	not_entailment
353	who is the individual saying farewell to?	i love you jimmy	entailment
354	do you adore anne meara?	I adored # annemeara	entailment
355	do you adore anne meara?	anne meara	not_entailment
356	this photograph is taken on the set of what film?	The Life and Death of John Gotti	entailment
357	this photograph is taken on the set of what film?	the film gotti	not_entailment
358	when did they win it?	after 6 weeks of hard work	entailment
359	when did they win it?	aust	not_entailment
360	what is said to be our most powerful weapon?	Freedom to mock	entailment
361	what is said to be our most powerful weapon?	taran killam	not_entailment
362	who does this individual greet?	everybody	entailment
363	who does this individual greet?	we dont care about the past	not_entailment
364	which is the right side of history?	Standing	not_entailment
365	which is the right side of history?	standing on the right side of history	entailment
366	how far did odell beckham, jr. throw the ball in the video?	the whole football field	entailment
367	how far did odell beckham, jr. throw the ball in the video?	odell beckham jr	not_entailment
368	what is the breaking news?	Luis Enrique signs 2 year deal	entailment
369	what is the breaking news?	fc barcelona	not_entailment
370	what was the sex of the two people being harassed?	malia + sasha obama	not_entailment
371	what was the sex of the two people being harassed?	harassment was not ok	entailment
372	what terrorist related events took place today?	2nd man arrested in LA with rifles	entailment
373	what terrorist related events took place today?	the shooting of clubgoers	not_entailment
374	which national soccer celebrated a win?	Brazil	entailment
375	which national soccer celebrated a win?	cnnworld	not_entailment
376	who is being thanked for world class care?	Royal Free NHS	entailment
377	who is being thanked for world class care?	thank them	not_entailment
378	why is this disgusting?	commercial " for " Heroin	entailment
379	why is this disgusting?	saturday night live	not_entailment
380	why did thomas want to cancel the series	Playing in front of a empty house	entailment
381	why did thomas want to cancel the series	why	not_entailment
382	who can't always be present?	surrogates	not_entailment
383	who can't always be present?	his surrogates	entailment
384	what was the historic victory about?	marriage equality	entailment
385	what was the historic victory about?	the historic victory for marriage equality	not_entailment
386	what does bernie ecclestone give?	Christmas card	entailment
387	what does bernie ecclestone give?	i ' m guessing martin will not give this christmas card	not_entailment
388	just wait till who gets home?	Your Father	entailment
389	just wait till who gets home?	# dariusmccrary	not_entailment
390	what kind of sweat is highly unavoidable?	subway sweat	entailment
391	what kind of sweat is highly unavoidable?	p . s .	not_entailment
392	what are they asking people to do here?	Vote your conscience	not_entailment
393	what are they asking people to do here?	vote	entailment
394	who is being congratulated?	andy_murray and Kim	entailment
395	who is being congratulated?	andy _ murray & kim	not_entailment
396	what is it important that chris rock is on?	the mic	entailment
397	what is it important that chris rock is on?		not_entailment
398	what day was the voting held?	Tuesday	entailment
399	what day was the voting held?	blm	not_entailment
400	why was braun strowman at yankee stadium?	scouting batting practice	entailment
401	why was braun strowman at yankee stadium?	braun	not_entailment
402	people want to discuss what myth?	black on black crime	entailment
403	people want to discuss what myth?	# waco thugs	not_entailment
404	who is trade a disaster for?	working Americans	entailment
405	who is trade a disaster for?	unfettered free trade	not_entailment
406	where is the butcher located?	Ripon	not_entailment
407	where is the butcher located?	ripin	entailment
408	before the guns came out, what did @mchammer think of the encounter?	It was comical	entailment
409	before the guns came out, what did @mchammer think of the encounter?	mc hammer	not_entailment
410	what isn't being addressed?	the main shortcomings	entailment
411	what isn't being addressed?	# mufc	not_entailment
412	who should make baltimore first	Jay_Wyse	not_entailment
413	who should make baltimore first	@ jay _ wyse	entailment
414	who is the owner of brown panther at the manor house?	michael owen	entailment
415	who is the owner of brown panther at the manor house?	brown panther	not_entailment
416	what hard earned rights needs to be protected	the right to vote and to protest	not_entailment
417	what hard earned rights needs to be protected	right to vote and protest	entailment
418	what might nicki minaj want instead?	an unknown	entailment
419	what might nicki minaj want instead?	i kinda want an unknown	not_entailment
420	what people are being discussed?	Zendaya	not_entailment
421	what people are being discussed?	zendaya doesn ' t even resemble aaliyah	entailment
422	what happened to senzo meyiwa?	thoughts and prayers	not_entailment
423	what happened to senzo meyiwa?	passed away	entailment
424	to whom did washed have to rehearse to talk to?	the cops	entailment
425	to whom did washed have to rehearse to talk to?	my brothers	not_entailment
426	who did the iconic neon designs belong to?	Betty Willis	entailment
427	who did the iconic neon designs belong to?	saddened	not_entailment
428	what project has ended for oliver stone?	MLK project	not_entailment
429	what project has ended for oliver stone?	mlk project involvement	entailment
430	what did jeb’s brother do after 9/11?	kept us safe	entailment
431	what did jeb’s brother do after 9/11?	realdonaldtrump	not_entailment
432	was it because you are special?	I know how we get treated	entailment
433	was it because you are special?	trend	not_entailment
434	why are they discussing ricky rubio?	for Reggie Jackson trade	entailment
435	why are they discussing ricky rubio?	timberwolves , pistons	not_entailment
436	why did john mccain drop donald trump?	over locker room remarks	entailment
437	why did john mccain drop donald trump?	locker room remarks	not_entailment
438	what is he shocked by?	loss of life	entailment
439	what is he shocked by?	shocked and appalled by loss of life	not_entailment
440	in what country was this taking place?	Syria	entailment
441	in what country was this taking place?	madaya	not_entailment
442	who is interviewing them?	Ben Wyatt	entailment
443	who is interviewing them?	cnn ' s interview	not_entailment
444	what has become a tent city?	Nearby Army Pavilion	entailment
445	what has become a tent city?	1000s	not_entailment
446	who recently passed away?	Oliver Sacks	entailment
447	who recently passed away?	musicophilia	not_entailment
448	when did the activity occur?	Last	not_entailment
449	when did the activity occur?	parsec	entailment
450	who did trump hit hard with verbal?	Obama and Crooked Hillary	entailment
451	who did trump hit hard with verbal?	hillary	not_entailment
452	who did trump tweet had fallen to his lowest numbers ever?	Obama	entailment
453	who did trump tweet had fallen to his lowest numbers ever?	donald trump tweet	not_entailment
454	what did cavs say cnn wants us to eat?	dogs	entailment
455	what did cavs say cnn wants us to eat?	cnn wants us to eat dogs	not_entailment
456	what will she not forget?	women's struggle	entailment
457	what will she not forget?	women ' s struggle	not_entailment
458	what object has a knife sticking out of it in the picture?	the ides of March	entailment
459	what object has a knife sticking out of it in the picture?	a knife	not_entailment
460	who has been dismissed?	Clarence Seedorf	entailment
461	who has been dismissed?	filippo # inzaghi	not_entailment
462	where were cher and meryl doing an emotional scene?	on porch	entailment
463	where were cher and meryl doing an emotional scene?	meryl	not_entailment
464	who will they thank	When things calm down	entailment
465	who will they thank	comey	not_entailment
466	who could pick up a knighthood at home?	Prince Philip	entailment
467	who could pick up a knighthood at home?	beyonce	not_entailment
468	what will taylor swift do if you mess with her	write an incredibly catchy song about you	entailment
469	what will taylor swift do if you mess with her	i ' m not kidding	not_entailment
470	what was a great honor?	Going to White House	not_entailment
471	what was a great honor?	visit the white house	entailment
472	what are resources going to be spent on?	defeat Hillary	not_entailment
473	what are resources going to be spent on?	defeating hillary	entailment
474	what did chelsea clinton say she hopes kellyanne polls receives?	the apology	entailment
475	what did chelsea clinton say she hopes kellyanne polls receives?	despicable	not_entailment
476	who does jamal crawford give a shout out to?	all of you	entailment
477	who does jamal crawford give a shout out to?	# clipper nation	not_entailment
478	who might be upset due to the tweeter's remarks?	the US Chamber	entailment
479	who might be upset due to the tweeter's remarks?	donald trump	not_entailment
480	if he can help, what will be awarded to him?	best friend	entailment
481	if he can help, what will be awarded to him?	realdonaldtrump	not_entailment
482	what type of interpretation was it?	the best comic interpretation	not_entailment
483	what type of interpretation was it?	it was a comic interpretation	entailment
484	what  award show is the tweet talking about?	Tony Awards 2017	entailment
485	what  award show is the tweet talking about?	tony awards	not_entailment
486	who did russia lose to at the soci 2014 olympics?	Finland	entailment
487	who did russia lose to at the soci 2014 olympics?	sochi	not_entailment
488	who wants nfl apology to team?	Robert Kraft	entailment
489	who wants nfl apology to team?	didn ' t say	not_entailment
490	which of the cassidy's just died?	David	entailment
491	which of the cassidy's just died?	condolences	not_entailment
492	where are the kids?	playground	entailment
493	where are the kids?	the kids are at the playground	not_entailment
494	helloo friends, how you doing' today?	Just celebrated the coming snow	not_entailment
495	helloo friends, how you doing' today?	i ' m fine	entailment
496	who from linkin park pased away?	Chester	entailment
497	who from linkin park pased away?	saddened	not_entailment
498	what is being fertalized?	the Central Valley	entailment
499	what is being fertalized?	watersheds	not_entailment
500	who did obama say he won against?	President	not_entailment
501	who did obama say he won against?	donald trump	entailment
502	where is moore community center?	301 S Howard	entailment
503	where is moore community center?	wesr	not_entailment
504	what does the tweeter recommend you do?	get in a good stretch	entailment
505	what does the tweeter recommend you do?	madonna carpool	not_entailment
506	what did vitolo consider the moment ?	Momento que nunca	not_entailment
507	what did vitolo consider the moment ?	an unforgettable moment	entailment
508	what instrument is lady gaga playing?	acoustic	not_entailment
509	what instrument is lady gaga playing?	piano	entailment
510	what has keaton rolling on the floor?	P!nk's face	entailment
511	what has keaton rolling on the floor?	p ! nk ' s face	not_entailment
512	how old is the story he mentions?	a 16 year old	entailment
513	how old is the story he mentions?	dishonest media	not_entailment
514	princessbmm was supposed to go where with her dad?	Auschwitz	entailment
515	princessbmm was supposed to go where with her dad?	princess bm	not_entailment
516	who it tony fadell to google?	its best designer	entailment
